iter	Logloss
349	0.3954059834
350	0.395336394
351	0.3952800346
352	0.3951730525
353	0.3951318929
354	0.3950161349
355	0.394946508
356	0.3948776593
357	0.3947813362
358	0.3947179557
359	0.3946503613
360	0.3945821554
361	0.3945079565
362	0.3944416459
363	0.394375137
364	0.3942841263
365	0.3942490631
366	0.3941840057
367	0.3941200035
368	0.3940280505
369	0.3939925983
370	0.393906093
371	0.393839476
372	0.3937706261
373	0.3937131635
374	0.3936568678
375	0.3935613673
376	0.3934812669
377	0.3934276167
378	0.3933632161
379	0.3933025278
380	0.3932436492
381	0.3931741966
382	0.3931170358
383	0.3930366542
384	0.3929719029
385	0.3928410503
386	0.3927975892
387	0.3927448364
388	0.3926842911
389	0.3926310652
390	0.3925555092
391	0.3925061641
392	0.3924576005
393	0.3923822164
394	0.3922916932
395	0.3922126086
396	0.3921338226
397	0.3920671737
398	0.3920329614
399	0.3919604705
